Modularity,Eccentricity,Closeness,Harmonic,Betweeness,Clustering,Indegree,Outdegree,Degree,Domain,Proximity,Pageranks,Cluster,Eigenvector
36,1,1,1,4,0.083333,2,2,4,0.000198,0.000198,0.000134,347,0.00371
105,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,351,0.001692
105,0,0,0,0,0.5,2,0,2,0.000297,0.000223,0.000106,353,0.004036
192,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,355,0.001692
37,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,357,0.001692
38,0,0,0,0,0.2,5,0,5,0.000495,0.000495,0.000223,359,0.009764
640,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,361,0.001692
39,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,363,0.001692
39,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,365,0.00371
40,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,367,0.001692
40,1,1,1,1.5,0.166667,2,1,3,0.000198,0.000198,0.000085,370,0.00371
40,0,0,0,0,0.166667,7,0,7,0.000694,0.000694,0.000276,372,0.014157
41,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,374,0.001692
42,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,376,0.001692
42,1,1,1,20,0.045238,20,1,21,0.001982,0.001982,0.000307,378,0.040033
42,1,1,1,84,0.065,21,4,25,0.002081,0.002081,0.000568,381,0.048842
43,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,387,0.001692
43,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,389,0.00371
44,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,391,0.001692
44,1,1,1,3,0.166667,3,1,4,0.000297,0.000297,0.000097,393,0.005728
44,0,0,0,0,0.3,5,0,5,0.000495,0.000495,0.00021,396,0.010478
0,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,398,0.001692
563,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,400,0.001692
563,1,1,1,18,0.049708,18,1,19,0.001783,0.001783,0.000579,402,0.035997
45,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,405,0.001692
639,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,407,0.001692
193,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,409,0.001692
193,1,1,1,4.5,0.097222,8,1,9,0.000793,0.000793,0.000159,412,0.015817
193,1,1,1,64.5,0.053333,24,1,25,0.006836,0.003024,0.0006,414,0.053753
46,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,417,0.001692
46,1,1,1,4,0.083333,2,2,4,0.000198,0.000198,0.000134,419,0.00371
47,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,423,0.001692
48,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,426,0.001692
48,0,0,0,0,0.055556,18,0,18,0.001783,0.001783,0.000609,428,0.035997
640,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,430,0.001692
640,1,1,1,23.5,0.063636,8,3,11,0.000892,0.000803,0.000192,433,0.016144
12,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,437,0.001692
36,1,1,1,4.333333,0,1,7,8,0.000099,0.000099,0.000069,439,0.002051
36,1,1,1,12.666667,0,2,14,16,0.000099,0.000099,0.000069,448,0.004102
315,1,1,1,4,0,1,7,8,0.000099,0.000099,0.000081,459,0.001692
480,1,1,1,2,0,1,4,5,0.000099,0.000099,0.000073,461,0.001692
480,1,1,1,296,0.017073,29,12,41,0.002873,0.002873,0.000916,467,0.058195
640,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,477,0.001692
186,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,479,0.001692
186,1,1,1,214.569444,0.015625,62,2,64,0.018131,0.010808,0.001268,481,0.165201
49,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,483,0.001692
27,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000065,485,0.001692
